期别	她们的名字	年齡	学年	应援色	出身地	身長	血液型	生年月日
3期	久保 史緒里（くぼ しおり）	19 	01年	水色·黄	宮城県	159cm	O型	2001年7月14日
4期	賀喜 遥香（かき はるか）	19 	01年	オレンジ·绿	栃木県	166cm	A型	2001年8月8日
4期	北川 悠理（きたがわ ゆり）	19 	01年	水色·オレンジ	カリフォルニア州	163cm	不明	2001年8月8日
4期	佐藤 璃果（さとう りか）	19 	01年	桃·ターコイズ / 桃·水色	岩手県	158cm	B型	2001年8月9日
3期	中村 麗乃（なかむら れの）	19 	01年	青·白	東京都	167cm	不明 	2001年9月27日
4期	金川 紗耶（かながわ さや）	19 	01年	水色·赤	北海道札幌市	164cm	O型	2001年10月31日
4期	遠藤 さくら（えんどう さくら）	19 	01年	ピンク·白	愛知県	160cm	不明	2001年11月3日
3期	阪口 珠美（さかぐち たまみ）	19 	01年	紫·黄	東京都	161cm	A型	2001年11月10日
4期	矢久保 美緒（やくぼ みお）	18 	02年	ピンク·黄色	東京都	152cm	B型	2002年8月14日
3期	伊藤 理々杏（いとう りりあ）	18 	02年	紫·赤	沖縄県	154cm	B型	2002年10月8日
4期	掛橋 沙耶香（かけはし さやか）	18 	02年	ピンク·オレンジ	岡山県	156cm	B型	2002年11月20日
4期	柴田 柚菜（しばた ゆな）	18 	02年	青·黄绿	千葉県	160cm	A型	2003年3月3日
4期	清宮 レイ（せいみや レイ）	17 	03年	オレンジ·オレンジ	埼玉県	162cm	O型	2003年8月1日
4期	林 瑠奈（はやし るな）	17 	03年	ピンク·ピンク	神奈川県	163cm	O型	2003年10月2日
4期	松尾 美佑（まつお みゆ）	17 	03年	ターコイズ·白	千葉県	165cm	O型	2004年1月3日
4期	黒見 明香（くろみ はるか）	17 	03年	紫·緑	東京都	162cm	O型	2004年1月19日
3期	岩本 蓮加（いわもと れんか）	17 	03年	赤·ピンク	東京都	157cm	B型	2004年2月4日
4期	筒井 あやめ（つつい あやめ）	16 	04年	紫·紫	愛知県	160cm	O型	2004年6月8日
